id,category,finding,severity,owner,mitigation,status
T1,Authz,"BOLA: GET /books/{bookId}/loans and GET /loans/{loanId} return another member's loan/borrower history to any authenticated caller",High,Backend tech lead,"Object-level ownership check (caller==owner or borrower) on every /{id} route; return 404 when unauthorized; add two-member test",Open
T2,PII,"JWT (email claim) and request bodies risk being logged to Application Insights via customDimensions, exposing member emails to anyone with Log Analytics read access",High,Backend tech lead,"Telemetry processor strips authorization/email/phone/address; log memberId not email; restrict workspace RBAC; set retention",Open
T3,RateLimit,"No rate limit on POST /books/{bookId}/borrow-requests (notification/Service-Bus spam) and on auth paths (brute force)",Medium,Platform/SRE,"Front Door rate-limit rules (100 req/min/IP on writes+auth); app-level cap 5 open borrow requests/member/hour; return 429 + Retry-After",Open
T4,Transport,"Missing Strict-Transport-Security and HTTPS-only enforcement confirmation; origin reachable outside Front Door",Medium,Platform/SRE,"Front Door HTTPS-only + redirect, min TLS 1.2, HSTS header; lock origin to Front Door via X-Azure-FDID + private link",Open
T5,Injection,"Free-text search over title/author/ISBN could be SQL-injectable if concatenated instead of parameterised",Medium,Backend tech lead,"Parameterise all queries; bind search via @q LIKE or Azure SQL full-text; add review/lint gate",Open
T6,Authn,"/health must be the only anonymous route; risk a new route is added without inheriting global JWT security, or /health added without security:[] override",Medium,Backend tech lead,"Explicit security:[] only on /health; CI contract test asserts every other path returns 401 without token; validate aud/iss/exp<=1h",Open
T7,Secrets,"Connection strings must be in Key Vault via Managed Identity, never plaintext App Settings or .env in prod; ensure none are logged",Low,Platform/SRE,"Key Vault references + system-assigned Managed Identity; key rotation; deny secrets in logs; .env git-ignored (local only)",Open
T8,CORS,"ZAP baseline WARN [10098] Cross-Domain Misconfiguration: over-permissive Access-Control-Allow-Origin (* on the mock). Wildcard CORS on an authenticated API lets any site call it with the user's credentials",Medium,Platform/SRE,"Front Door/middleware: set Access-Control-Allow-Origin to explicit BookSwap app origin(s) only; never * for authenticated API; do not reflect arbitrary Origin",Open
T9,PII,"Service Bus digest/notify messages must reference memberId only, not email/address; worker resolves email at send time",Low,Backend tech lead,"Queue payloads carry IDs only; resolve PII at delivery; do not persist PII in message body",Open
T10,Caching,"ZAP baseline WARN [10049] Storable and Cacheable Content: responses cacheable; authenticated/PII responses could be cached by shared proxies/browser",Low,Platform/SRE,"Send Cache-Control: no-store (+ Pragma: no-cache) on all authenticated responses; only public non-PII reads may be cached",Open
T11,Hardening,"Defence-in-depth security headers for completeness (CSP/X-Content-Type-Options/HSTS) even though baseline did not FAIL on them for this JSON API",Low,Platform/SRE,"Add at Front Door rules engine: X-Content-Type-Options: nosniff, Strict-Transport-Security, CSP default-src 'none'; frame-ancestors 'none'",Open
